id,Production,Model,Type,Displacement,Engine_Type,Power,Body,Production_Number,Image
1,1978-1981,M1,E26,3.5-litre,l6,273 hp,Coupe,453,
2,1980-1984,M535i,E12,3.5-litre,l6,215 hp,Sedan with 4 doors,"1,410",
3,1984-1989,M635CSi,E24,3.5-litre,l6,256 hp to 282 hp,Coupe,"5,859",
4,1985-1988,M535i,E28,3.5-litre,l6,182 hp to 214 hp,Sedan with 4 doors,"9,483",
5,1985-1988,M5,E28,3.5-litre,l6,281 hp,Sedan with 4 doors,"2,191",
6,1986-1991,M3,E30,2.3-litre and 2.5-litre; 2.5-litre,l4,191 hp to 234 hp,"Coupe, Convertible","17,184 (Coupe); 786 (Convertible)",
7,1988-1995,M5,E34,3.6-litre 3.8-litre,l6,311 hp to 335 hp,"Sedan with 4 doors; Station wagon (since 1992)",336 (Sedan); 891 (Station wagon),
8,1990,M8,E31,6.0-litre,V12,549 hp,Coupe,1 prototype,
9,1992-1999,M3,E36,3.0-litre,l6,240 hp to 316 hp,Sedan with 4 doors; Coupe; Convertible,"71,242",
10,1996-2002,M Roadster and M Coupe,E36/7; E36/8,3.2-litre,l6,240 hp to 316 hp,Roadster; Coupe,"6,318 (Coupe); 15,375 (Roadster)",
11,1998-2003,M5,E39,5.0-litre,V8,394 hp,Sedan with 4 doors,"20,482",
12,2000-2006,M3,E46,3.2-litre; 4.0-litre (GTR),l6; V8,337 hp to 374 hp,Coupe; Convertible,"85,744",
13,2005-2010,M5,E60; E61,5.0-litre,V10,500 hp,Sedan with 4 doors; Station wagon (since 2007),"19,522 (Sedan); 1,025 (Station wagon)",
14,2005-2010,M6,5.0-litre,E63; E64,V10,500 hp,Coupe; Convertible (since 2006),"9,087 (Coupe); 5,065 (Convertible)",
15,2006-2008,3.2-litre,Z4 M Roadster and Z4 M Coupe,E85; E86,l6,337 hp,Roadster; Coupe,"4,275 (Coupe); 5,070 (Roadster)",
16,2007-2013,M3,E90; E92; E93,4.0-litre; 4.4-litre (CRT & GTS),V8,414 hp to 443 hp,Sedan with 4 doors; Coupe; Convertible,"9,606 + 68 M3 CRT (Sedan); 39,954 + 138 M3 GTS (Coupe); 16,219 (Convertible)",
17,2011-2012,1M,E82,3.0-litre,l6,335 hp,Coupe,"6,342",
18,2009-2013,X5 M,E70,4.4-litre,V8,547 hp,SAV,"8,974",
19,2009-2014,X6 M,E71,4.4-litre,V8,547 hp,SAV,"10,678",
20,2011-2016,M5,F10,4.4-litre,V8,552 hp to 591 hp,Sedan with 4 doors,"19,533",
21,2012-2018,M6,F06/F12/F13,4.4-litre,V8,552 hp to 591 hp,Sedan with 4 doors; Coupe; Convertible,"6,719 (Sedan with 4 doors); 4,515 (Coupe); 4,318 (Convertible)",
22,2013-2018,X5 M,F85,4.4-litre,V8,567 hp,SAV,"12,915",
23,2014-2018,M3,F80,3.0-litre,l6,425 to 453 hp,Sedan with 4 doors,"33,414 + 1,263 M3 CS",
24,2014-2019,X6 M,F86,4.4-litre,V8,567 hp,SAV,"9,794",
